"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",4.99999999999999,3.60000000000002,2.00000000000001,3.7,3.40000000000001,-1.7,1.3,-10.1,59.1,1.59999999999999,5.19999999999999,6.8,5.8,2.2,0.70000000000001,7.9,-2.2,10.4,-0.600000000000001,4.49999999999999,7.09999999999999,1.6,2.10000000000001,1.2,4,-3.6,1.7,6.59999999999999,4.6,6.7,2.50000000000001,2.4,5.7,2.8,5,3.3,2.4,1.7,3.2,3.2,-0.400000000000006,8.20000000000002,1.3,2,9.59999999999999,0.5,0.399999999999995,0.199999999999996,2.40000000000001,1.7
"2",-1.79999999999998,0.499999999999986,3.59999999999999,1.5,-2.1,3.2,1,17.9,-51.9,-0.999999999999986,-3.39999999999999,2.2,-4.90000000000001,-2.59999999999999,1.09999999999999,-6.2,-1.1,-5.1,-0.300000000000004,-2.2,-5.29999999999999,1.5,-1.00000000000001,-0.800000000000001,2.59999999999999,-4.2,1.3,-4.8,-2.7,-3.3,-4.70000000000001,-1.6,-0.600000000000009,-1.9,-2.59999999999999,0.900000000000006,-1.1,-0.399999999999999,-9.09999999999999,4.50000000000001,2.40000000000001,-1.10000000000001,0.300000000000011,-0.700000000000006,-4.1,0.800000000000001,1.5,-2.29999999999999,-1.6,-7.49999999999999
"3",-7.30000000000001,-2.5,-6,-7,-7.105427357601e-15,-2.20000000000001,-6.8,-19.5,26.4,-2.70000000000001,1,-9.59999999999999,5.7,-0.899999999999999,-1.8,2.1,1.59999999999999,-0.100000000000001,-3.09999999999999,3.6,2.69999999999999,-3.3,-0.299999999999994,0.800000000000004,-3.4,10.1,-5.59999999999999,-3.1,0.700000000000005,-0.800000000000001,2.40000000000001,-1.2,-3.4,6.6,1.09999999999999,-2.7,0.400000000000002,-1.2,0.0999999999999872,-8.50000000000001,0.199999999999999,-2.00000000000001,-1.80000000000002,1.30000000000001,-4.7,-2.4,0.0999999999999979,0.199999999999989,1,5.39999999999999
"4",8.1,1.5,5.3,1.5,-0.899999999999999,0.600000000000012,4.8,15.7,11.6,1.20000000000001,-2.90000000000001,10.1,-2.9,2.39999999999999,-0.799999999999997,0.0999999999999943,-2.3,-0.599999999999994,8.09999999999999,-6.40000000000001,-1.99999999999999,2.5,0.299999999999994,-0.600000000000005,-3.9,-7.2,6.2,4.3,-0.100000000000003,0.900000000000002,1.39999999999998,2.3,3.3,-8.9,-1.89999999999999,2.2,-0.499999999999996,1.2,11.6,4.2,2.2,0.500000000000014,1.00000000000001,-2,15,-0.800000000000001,-2,2.10000000000001,-0.900000000000002,-0.999999999999996
"5",-2.1,3.1,-3.00000000000001,3,3.7,2.89999999999999,0.299999999999994,-11.1,-26.8,2.59999999999999,4.2,-7.29999999999999,-2.5,0.5,2.20000000000001,-0.199999999999996,4,1.2,-2.90000000000001,4.50000000000001,1.59999999999999,0.600000000000001,-0.799999999999997,0.400000000000002,8.40000000000001,2.7,-3.6,2.1,-2,0.300000000000001,1.20000000000001,-0.5,-3.8,4,3.8,1,-2,-0.799999999999997,-7.49999999999999,1.4,-4.4,0.399999999999991,1,1.2,-17.5,3.3,1.70000000000001,-0.600000000000001,1.4,-2.4
"6",0.400000000000006,-1.1,3.50000000000001,-0.800000000000004,-1.59999999999999,-2.29999999999999,0.600000000000001,6.80000000000001,26.6,-1.3,-3.5,10.3,7.4,-0.29999999999999,-2.60000000000001,0.199999999999996,-4.1,-0.700000000000014,-0.499999999999993,-0.200000000000005,0.100000000000009,-0.800000000000004,2.7,-0.399999999999999,-3.80000000000001,0.5,1.6,-6.7,2.1,0.699999999999996,0.999999999999993,1.4,4.99999999999999,4.00000000000001,-2.4,-3.2,4.6,3.6,-2.40000000000001,-0.399999999999999,1.1,1.4,-0.600000000000009,-0.699999999999992,10,-1.4,0.399999999999995,0.299999999999997,-2.2,3.2
"7",-1,-0.900000000000006,-5,-1.79999999999999,0.399999999999991,0.599999999999994,-2,0.899999999999984,-17.2,-1.09999999999999,3.2,-15.6,-5.20000000000001,-2.3,3.40000000000001,1.30000000000001,4,2.10000000000001,-1.10000000000001,-1.1,0.199999999999992,-1.2,-2.40000000000001,1.4,0.70000000000001,-1.9,-0.200000000000006,7.2,-2,-1.7,-4.29999999999999,-1.6,-2.9,-8.80000000000001,0.200000000000003,2.2,-2.9,-3.8,3.2,-2.5,2,-3.5,0.899999999999999,2,-1.2,0.800000000000001,-1.2,-1.1,3.6,-1.69999999999999
"8",3.19999999999999,-1.7,5.2,3.89999999999999,-0.0999999999999979,-0.199999999999999,1.2,-5.59999999999999,3.50000000000001,2.5,1.4210854715202e-14,11.4,-3.4,4.29999999999999,-1.40000000000001,-1.60000000000001,-3.2,-0.799999999999997,1.40000000000001,0.700000000000001,-0.699999999999996,1.8,1.8,-1.5,2.09999999999999,2.8,-0.799999999999994,-4.10000000000002,3.3,2.2,1.29999999999999,0.699999999999996,0.600000000000001,7.50000000000001,1.5,1.09999999999999,-0.300000000000001,1.2,2.7,1.6,-0.699999999999999,4.30000000000001,-0.399999999999984,-2.6,-3.5,-0.700000000000003,0.999999999999996,0.600000000000009,-4.6,-1.90000000000001
"9",-6.69999999999998,-2.8,-5.2,-4.99999999999999,-0.900000000000002,-4.1,0.400000000000004,4.50000000000001,-2.60000000000002,-3.79999999999999,-3.10000000000002,-4.3,5.6,-3.79999999999999,-1.5,3.5527136788005e-15,2.8,-2.80000000000001,-1.80000000000001,-1.6,-0.899999999999999,-0.899999999999997,-2.4,-0.400000000000002,-7.79999999999998,-3.4,1.7,-0.499999999999986,-1.1,-1.2,2.2,-0.599999999999994,-1.7,-2.6,-2.9,-3.1,0.0999999999999979,-0.899999999999999,-2.5,-2.7,-1.2,-5.10000000000002,-1.70000000000002,-1.1,3.4,0.600000000000005,-1.9,1.59999999999999,3.4,4.70000000000001
"10",8.29999999999998,10.3,3.60000000000001,6.39999999999999,2,8.40000000000001,0.399999999999999,-3.40000000000001,9.70000000000001,2.69999999999999,3,1.1,3.5527136788005e-15,1.5,3.2,1.3,-2.6,5.20000000000001,3.10000000000001,2.5,2.4,0.299999999999999,1.1,2.2,8.79999999999999,2.2,-2.5,3.5,-2.4,0.4,-0.799999999999997,-0.200000000000005,3.19999999999999,0.400000000000004,2.20000000000001,2.90000000000001,1.1,1.9,-2.5,3.59999999999999,-0.100000000000001,4.80000000000001,3.60000000000001,3.8,-0.899999999999999,-1.40000000000001,3.39999999999999,-2.5,-2.5,-2.3
